pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
Verbreitung und Besitz von Anleitungen zu sexuellem Missbrauch von Kindern § 176e StGB;Vergewaltigung
Verbreitung von Jugendpornographie § 184c Abs. 1 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung von Kinderpornographie nur 2. Version § 184 Abs. 3 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung von Kinderpornographie § 184b Abs. 1 StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Inhalte § 184c StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Schriften § 184c StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Inhalte § 184b StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Schriften § 184b StGB;Straftaten gegen die sexuelle Selbstbestimmung
Vergewaltigung durch Gruppen;Vergewaltigung
Vergewaltigung durch Gruppen § 177 Abs. 2 Nr. 2 StGB;Vergewaltigung
Vergewaltigung durch Gruppen § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;Vergewaltigung
Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;Vergewaltigung
Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB davon:;Vergewaltigung
Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB;Vergewaltigung
Vergewaltigung § 177 Abs. 6, 7, 8 StGB;Vergewaltigung
Vergewaltigung § 177 StGB;Vergewaltigung
Vergewaltigung überfallartig (Einzeltäter) § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;Vergewaltigung
Vergewaltigung überfallartig (Einzeltäter) § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;Vergewaltigung
Vergewaltigung überfallartig (durch Gruppen) § 177 Abs. 2 Nr. 2 StGB;Vergewaltigung
Vergewaltigung überfallartig (durch Gruppen) § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;Vergewaltigung
Vergewaltigung überfallartig Einzeltäter;Vergewaltigung
Vergewaltigung überfallartig durch Gruppen;Vergewaltigung
Vergewaltigung, besonders schwere Fälle der sexuellen Nötigung § 177 Abs. 3 und 4 StGB;Vergewaltigung
Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;Vergewaltigung
Vergewaltigung/sexuelle Nötigung mit Todesfolge § 178 StGB;Vergewaltigung
Verletzung der Buchführungspflicht § 283b StGB;Verletzung der Unterhaltspflicht
Verletzung der Fürsorge- oder Erziehungspflicht § 171 StGB;Verletzung der Unterhaltspflicht
Verletzung der Fürsorge- oder Erziehungspflicht § 171d StGB;Verletzung der Unterhaltspflicht
Verletzung der Unterhaltspflicht § 170 StGB;Verletzung der Unterhaltspflicht
Verletzung der Unterhaltspflicht § 170b StGB;Verletzung der Unterhaltspflicht
Verletzung des Dienstgeheimnisses § 353b StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Verletzung des Intimbereichs durch Bildaufnahmen § 184k StGB;Straftaten gegen die sexuelle Selbstbestimmung
Verletzung von Geschäftsgeheimnissen § 23 Abs. 1 Nr. 1, 2, Abs. 2 und 4 GeschGehG;Andere Vermögensdelikte
Verletzung von Geschäftsgeheimnissen § 23 Abs. 1 Nr. 3 und Abs. 4 GeschGehG;Andere Vermögensdelikte
Verletzung von Geschäftsgeheimnissen § 23 Abs. 3 GeschGehG, strafbare Werbung § 16 UWG;Andere Vermögensdelikte
Vermögens- und Fälschungsdelikte;Andere Vermögensdelikte
Verrat von Betriebs- und Geschäftsgeheimnissen § 17 Abs. 1 UWG;Andere Vermögensdelikte
Verrat von Betriebs- und Geschäftsgeheimnissen § 17 Abs. 1 und 4 UWG;Andere Vermögensdelikte
Verrat von Betriebs- und Geschäftsgeheimnissen § 17 Abs. 2 UWG;Andere Vermögensdelikte
Verrat von Betriebs- und Geschäftsgeheimnissen § 17 Abs. 2 und 4 UWG;Andere Vermögensdelikte
Versuch der Vorbereitung des sexuellen Missbrauchs von Kindern (Scheinkindkonstellation) § 176b Abs. 1 i.V.m. Abs. 3 StGB;Vergewaltigung
Versuch des Sexuellen Missbrauchs von Kindern ohne Körperkontakt mit dem Kind (Scheinkindkonstellation) § 176a Abs. 1 nr. 3 i.V.m. Abs. 3 StGB;Vergewaltigung
Verunreinigung eines Gewässers § 324 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Veruntreuungen §§ 266, 266a, 266b StGB;Betrug
Veruntreuungen §§ 266, 266a, 266b StGB davon:;Betrug
Verursachen von Lärm, Erschütterungen und nichtionisierenden Strahlen § 325a StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Volksverhetzung § 130 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;Vergewaltigung
Vollzug des Beischlafs mit einem Kind oder anderer Handlungen nach § 176a Abs. 1 Nr. 1 StGB;Sexueller Missbrauch von Kindern
Vorbereitung des Diebstahls (nach § 242 StGB) und der Unterschlagung  (nach § 246 StGB) von Zahlungskarten, Schecks, Wechseln und anderen körperlichen unbaren Zahlungsinstrumenten § 152c StGB;Diebstahl und Unterschlagung
Vorbereitung des Diebstahls (nach § 242 StGB) und der Unterschlagung (nach § 246 StGB) von Zahlungskarten, Schecks, Wechseln und anderen körperlichen unbaren Zahlungsinstrumenten § 152c StGB;Diebstahl und Unterschlagung
Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3  StGB;Vergewaltigung
Vorbereitung des sexuellen Missbrauchs von Kindern gem § 176b Abs. 1, 3 StGB;Vergewaltigung
Vorbereitung eines Explosions- oder Strahlungsverbrechens § 310 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Vorbereitung eines Explosions- oder Strahlungsverbrechens § 311b StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Vorenthalten und Veruntreuen von Arbeitsentgelt § 266a StGB;Betrug
Vorsätzliche einfache Körperverletzung § 223 StGB;Körperverletzung
Vorteilsannahme § 331 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsannahme, Bestechlichkeit §§ 108b, 108e, 331, 332, 335 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsannahme, Bestechlichkeit §§ 108e, 331, 332, 335 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsannahme, Bestechlichkeit §§ 331, 332 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsannahme, Bestechlichkeit §§ 331, 332, 335 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsannahme, Bestechlichkeit §§ 331, 332, 335 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsgewährung § 333 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsgewährung, Bestechung §§ 108b, 108e, 333, 334, 335 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsgewährung, Bestechung §§ 108e, 333, 334, 335 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsgewährung, Bestechung §§ 333, 334 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsgewährung, Bestechung §§ 333, 334, 335 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Vorteilsgewährung, Bestechung §§ 333, 334, 335 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Vortäuschen einer Straftat § 145d StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Vortäuschen einer Straftat § 145d StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
Vortäuschen eines Diebstahls;Diebstahl und Unterschlagung
Vortäuschen eines Raubes;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Waren- und Warenkreditbetrug;Betrug
Waren- und Warenkreditbetrug davon:;Betrug
Warenbetrug;Betrug
Wechselbetrug;Betrug
Weitere Straftaten mit Umweltrelevanz gemäß StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
Werbung für Betäubungsmittel § 29 Abs. 1 Nr. 8 BtMG;Straftaten nach dem Betäubungsmittelgesetz
Wertpapierbetrug;Betrug
Wettbewerbs-, Korruptions- und Amtsdelikte §§ 108b, 108e, 258a, 298-300, 331-353d, 355, 357 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Wettbewerbs-, Korruptions- und Amtsdelikte §§ 108e, 258a, 298-300, 331- 353d, 355, 357 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Wettbewerbs-, Korruptions- und Amtsdelikte §§ 108e, 258a, 298-300, 331- 355, 357 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Wettbewerbs-, Korruptions- und Amtsdelikte §§ 108e, 298-300, 331- 353d, 355, 357 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Wettbewerbs-, Korruptions- und Amtsdelikte §§ 258a, 298-300, 331-353d, 355, 357 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Wettbewerbs-, Korruptions- und Amtsdelikte §§ 258a, 298-300, 331-353d, 355, 357 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Wettbewerbs-, Korruptions- und Amtsdelikte §§ 298-300, 331- 355, 357 StGB davon:;Straftaten gegen den Staat,die öffentliche Ordnung
Wettbewerbsbeschränkende Absprachen bei Ausschreibungen § 298 StGB;Andere Vermögensdelikte
Wettbewerbsdelikte (Wikri);Andere Vermögensdelikte
Widerstand gegen die Staatsgewalt und Straftaten gegen die öffentliche Ordnung §§ 111, 113, 114, 120, 121, 123-127, 129, 130-134, 136, 138, 140, 143, 145, 145a, 145c, 145d StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen die Staatsgewalt und Straftaten gegen die öffentliche Ordnung §§ 111, 113, 114, 120, 121, 123-127, 129, 130-134, 136, 138, 140, 144, 145, 145a, 145c, 145d StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen die Staatsgewalt und Straftaten gegen die öffentliche Ordnung §§ 111, 113, 114, 120, 121, 123-127, 129, 130-134, 136, 138, 140, 145, 145a, 145c, 145d StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen die Staatsgewalt und Straftaten gegen die öffentliche Ordnung §§ 111, 113, 114, 120, 121, 123-127, 129, 130-134, 136, 138, 140, 145, 145a, 145c, 145d StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen die Staatsgewalt und Straftaten gegen die öffentliche Ordnung §§ 111, 113, 114, 120, 121, 123-127, 129-134, 136, 138, 140, 144, 145, 145a, 145c, 145d StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen die Staatsgewalt §§ 111, 113, 114, 120, 121 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen und tätlicher Angriff auf die Staatsgewalt und Straftaten gegen die öffentliche Ordnung §§ 111, 113-115, 120, 121, 123-127, 129, 130-134, 136, 138, 140, 145, 145a, 145c, 145d StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen und tätlicher Angriff auf die Staatsgewalt und Straftaten gegen die öffentliche Ordnung §§ 111, 113-115, 120, 121, 123-127, 129, 130a-134, 136, 138, 140, 145, 145a, 145c, 145d StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen und tätlicher Angriff auf die Staatsgewalt und Straftaten gegen die öffentliche Ordnung §§ 111, 113-115, 120, 121, 123-129, 130a-134, 136, 138, 140, 145, 145a, 145c, 145d StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Widerstand gegen und tätlicher Angriff auf die Staatsgewalt §§ 111, 113-115, 120, 121 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
Wilderei §§ 292, 293 StGB;Straftaten nach dem StGB (ohne Verkehr)
Wilderei §§ 292, 293 StGB darunter:;Straftaten nach dem StGB (ohne Verkehr)
Wilderei §§ 292, 293, 296a StGB darunter:;Straftaten nach dem StGB (ohne Verkehr)
Wirtschaftskriminalität bei Betrug;Betrug
Wirtschaftskriminalität darunter:;Andere Vermögensdelikte
Wirtschaftskriminalität im Anlage- und Finanzierungsbereich pp.;Andere Vermögensdelikte
Wirtschaftskriminalität im Zusammenhang mit Arbeitsverhältnissen;Andere Vermögensdelikte
Wirtschaftskriminalität und zwar:;Andere Vermögensdelikte
Wohnungseinbruchdiebstahl § 244 Abs. 1 Nr. 3 StGB darunter:;Diebstahl und Unterschlagung
Wohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3 und Abs. 4,  244a StGB;Diebstahl und Unterschlagung
Wohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3 und Abs. 4, 244a StGB;Diebstahl und Unterschlagung
Wohnungseinbruchdiebstahl §§ 244 Abs. 1 Nr. 3, 244a StGB;Diebstahl und Unterschlagung
Wucher § 291 StGB;Andere Vermögensdelikte
Wucher § 302a StGB;Andere Vermögensdelikte
Zechanschlussraub;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Zechbetrug;Betrug
Zerstörung wichtiger Arbeitsmittel § 305a StGB;Straftaten nach dem StGB (ohne Verkehr)
Zuhälterei § 181a StGB;Straftaten gegen die sexuelle Selbstbestimmung
Zuhälterei §§ 181 Abs. 1 Nr. 1, 181a StGB;Straftaten gegen die sexuelle Selbstbestimmung
Zwangsheirat § 237 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB davon:;Andere Straftaten gegen die Person (ohne Verkehr)
an Kraftfahrzeugen;Diebstahl und Unterschlagung
an Personen unter 18 Jahren § 184 Abs. 1 Ziff. 1, 2, 5 StGB;Straftaten gegen die sexuelle Selbstbestimmung
besonders schwerer Fall einer Umweltstraftat § 330 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
direkte Beschaffungskriminalität;Andere Vermögensdelikte
durch gewerbs-/bandenmäßiges Handeln § 184 Abs. 4 StGB;Straftaten gegen die sexuelle Selbstbestimmung
erpresserischer Menschenraub i.V.m. Raubüberfall auf Geldinstitute und Poststellen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 3 Nr. 1 StGB;Sexueller Missbrauch von Kindern
fahrlässige Körperverletzung § 230 StGB;Körperverletzung
gefährliche und schwere Körperverletzung sowie Vergiftung §§ 223a, 224, 225, 227, 229 StGB darunter:;Gefährliche und schwere Körperverletzung
gemeingefährliche Vergiftung und fahrlässige Gemeingefährdung § 319, 320 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
gewerbsmäßig § 260 StGB;Diebstahl und Unterschlagung
illegaler Grenzübertritt nach Ausländergesetz;Straftaten nach dem Aufenthaltsgesetz
in/aus Kiosken;Diebstahl und Unterschlagung
in/aus Kraftfahrzeugen;Diebstahl und Unterschlagung
in/aus Schaufenstern, Schaukästen und Vitrinen;Diebstahl und Unterschlagung
in/aus Warenhäusern, Verkaufsräumen, Selbstbedienungsläden darunter:;Diebstahl und Unterschlagung
in/aus Wohnräumen;Diebstahl und Unterschlagung
in/aus Wohnräumen darunter:;Diebstahl und Unterschlagung
mit Amphetamin;Straftaten nach dem Betäubungsmittelgesetz
mit Amphetaminderivaten einschl. Ecstasy;Straftaten nach dem Betäubungsmittelgesetz
mit/von Amphetamin;Straftaten nach dem Betäubungsmittelgesetz
mit/von Amphetaminderivaten einschl. Ecstasy;Straftaten nach dem Betäubungsmittelgesetz
schwerer Hausfriedensbruch § 124 StGB;Straftaten gegen den Staat,die öffentliche Ordnung
schwerer Umweltgefährdung § 330 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;Sexueller Missbrauch von Kindern
sexuelle Handlungen nach § 176 Abs. 3 Nr. 2 StGB;Sexueller Missbrauch von Kindern
sexuelle Nötigung § 178 StGB;Vergewaltigung
sexueller Missbrauch von Kindern §§ 176 StGB;Sexueller Missbrauch von Kindern
sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a, 174b StGB darunter:;Straftaten gegen die sexuelle Selbstbestimmung
sonstige Hehlerei §§ 259-260 StGB darunter:;Diebstahl und Unterschlagung
sonstige Schecks;Betrug
sonstige Straftaten (Nebengesetze) auf dem Wirtschaftssektor (z.B. Rennwett- und LotterieG, UWG ohne § 17, VersicherungsaufsichtsG, WirtschaftsstrafG, Gewerbeordnung);Straftaten nach anderen Bundes- u. Landesgesetzen
sonstige Straftaten (Nebengesetze) auf dem Wirtschaftssektor (z.B. Rennwett- und LotterieG, UWG ohne § 17, VersicherungsaufsichtsG, WirtschaftsstrafG, Gewerbeordnung) darunter:;Straftaten nach anderen Bundes- u. Landesgesetzen
sonstige Straftaten (Nebengesetze) auf dem Wirtschaftssektor (z.B. Rennwett- und LotterieG, § 23 Abs. 3 GeschGehG und UWG § 16, VersicherungsaufsichtsG, WirtschaftsstrafG, Gewerbeordnung);Straftaten nach anderen Bundes- u. Landesgesetzen
sonstige Straftaten im Amt §§ 336, 339-355, 357 StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
sonstige Straftaten im Amt §§ 336-355, 357 StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
sonstige Straftaten im Amt §§ 339-353d, 355, 357 StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
sonstige Straftaten im Amt §§ 339-355, 357 StGB darunter:;Straftaten gegen den Staat,die öffentliche Ordnung
sonstige sexuelle Nötigung § 177 Abs. 1 und 2 StGB;Vergewaltigung
sonstige unbare Zahlungsmittel;Betrug
sonstiger Betrug darunter:;Betrug
sonstiger sexueller Missbrauch §§ 176, 179, 182, 183, 183a StGB;Straftaten gegen die sexuelle Selbstbestimmung
sonstiger sexueller Missbrauch §§ 176, 179, 182, 183, 183a StGB davon:;Straftaten gegen die sexuelle Selbstbestimmung
umweltgefährdende Abfallbeseitigung § 326 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
umweltgefährdende Abfallbeseitigung § 326 außer Abs. 2 StGB;Gemeingefährliche einschl. Umweltstraftaten (o.V.)
unerlaubte Einreise (Grenzübertritt) nach Ausländergesetz;Straftaten nach dem Aufenthaltsgesetz
unerlaubter Umgang mit Kernbrennstoffen § 328 StGB;Gefährliche und schwere Körperverletzung
von Amphetamin;Straftaten nach dem Betäubungsmittelgesetz
von Amphetaminderivaten einschl. Ecstasy;Straftaten nach dem Betäubungsmittelgesetz
von Betäubungsmitteln aus Apotheken;Diebstahl und Unterschlagung
von Betäubungsmitteln aus Arztpraxen;Diebstahl und Unterschlagung
von Betäubungsmitteln aus Krankenhäusern;Diebstahl und Unterschlagung
von Betäubungsmitteln bei Herstellern und Großhändlern;Diebstahl und Unterschlagung
von Fahrrädern einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
von Kraftwagen einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
von Mopeds und Krafträdern einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
von Rezeptformularen zur Erlangung von Betäubungsmitteln;Diebstahl und Unterschlagung
von Sprengstoff;Diebstahl und Unterschlagung
von amtlichen Siegeln und Stempeln, Vordrucken für Ausweise und Kfz-Papiere;Diebstahl und Unterschlagung
zum Nachteil von Kindern;Straftaten gegen die sexuelle Selbstbestimmung
§§ 234, 235-237 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
§§ 239, 240, 241 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Überweisungsbetrug §§ 263, 263a StGB;Betrug
