pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
Diebstahl insgesamt von Betäubungsmitteln bei Herstellern und Großhändlern;Diebstahl und Unterschlagung
Diebstahl insgesamt von Fahrrädern einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
Diebstahl insgesamt von Mopeds und Krafträdern einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
Diebstahl insgesamt von Rezeptformularen zur Erlangung von Betäubungsmitteln;Diebstahl und Unterschlagung
Diebstahl insgesamt von Schusswaffen;Diebstahl und Unterschlagung
Diebstahl insgesamt von unbaren Zahlungsmitteln;Diebstahl und Unterschlagung
Diebstahl insgesamt von/aus Automaten;Diebstahl und Unterschlagung
Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB;Diebstahl und Unterschlagung
Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;Diebstahl und Unterschlagung
Diebstahl unter erschwerenden Umständen an Kraftfahrzeugen;Diebstahl und Unterschlagung
Diebstahl unter erschwerenden Umständen § 243, 244 StGB;Diebstahl und Unterschlagung
Diebstahl unter erschwerenden Umständen §§ 243-244a StGB;Diebstahl und Unterschlagung
Diebstahl unter erschwerenden Umständen §§ 243-244a StGB und zwar:;Diebstahl und Unterschlagung
Einfacher Diebstahl an Kraftfahrzeugen;Diebstahl und Unterschlagung
Einfacher Diebstahl an/aus Kraftfahrzeugen;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus Banken, Sparkassen, Postfilialen und -agenturen und dergleichen;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus Boden-, Kellerräumen und Waschküchen;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus Gaststätten, Kantinen, Hotels und Pensionen;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern und Schaukästen darunter:;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen darunter:;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus Wohnungen;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus überwiegend unbezogenen Neu- und Rohbauten und Baustellen;Diebstahl und Unterschlagung
Einfacher Diebstahl in/aus überwiegend unbezogenen Neu- und Rohbauten, Baubuden und Baustellen;Diebstahl und Unterschlagung
Einfacher Diebstahl von Antiquitäten, Kunst- und sakralen Gegenständen;Diebstahl und Unterschlagung
Einfacher Diebstahl von Betäubungsmitteln aus Apotheken;Diebstahl und Unterschlagung
Einfacher Diebstahl von Betäubungsmitteln aus Arztpraxen;Diebstahl und Unterschlagung
Einfacher Diebstahl von Betäubungsmitteln aus Krankenhäusern;Diebstahl und Unterschlagung
Einfacher Diebstahl von Betäubungsmitteln bei Herstellern und Großhändlern;Diebstahl und Unterschlagung
Einfacher Diebstahl von Fahrrädern einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
Einfacher Diebstahl von Kraftwagen einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
Einfacher Diebstahl von Mopeds und Krafträdern einschl. unbefugte Ingebrauchnahme;Diebstahl und Unterschlagung
Einfacher Diebstahl von Rezeptformularen zur Erlangung von Betäubungsmitteln;Diebstahl und Unterschlagung
Einfacher Diebstahl von Schusswaffen;Diebstahl und Unterschlagung
