jahr;nationalitaet;straftat_bezeichnung;tatverdaechtige;verurteilte;bevoelkerung_gesamt;tatverdaechtige_pro_100k;verurteilte_pro_100k
1987;Nichtdeutsch;Andere Vermögensdelikte;53418;56252;4286472;1246.1996718980085;1312.3146494366463
1987;Nichtdeutsch;Betrug;73158;15416;4286472;1706.7182522130086;359.6430817698097
1987;Nichtdeutsch;Diebstahl und Unterschlagung;525661;109632;4286472;12263.255189815773;2557.6278114029437
1987;Nichtdeutsch;Gefährliche und schwere Körperverletzung;14658;8352;4286472;341.95954155305344;194.84555130652902
1987;Nichtdeutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);3445;2580;4286472;80.36912407219737;60.18935852141342
1987;Nichtdeutsch;Körperverletzung;50898;8264;4286472;1187.4100659003489;192.79258093835676
1987;Nichtdeutsch;Mord und Totschlag;1956;648;4286472;45.63193227437389;15.117327256541042
1987;Nichtdeutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;8186;4472;4286472;190.97290265747682;104.32822143711658
1987;Nichtdeutsch;Sexueller Missbrauch von Kindern;651;552;4286472;15.187314882728733;12.877723218534962
1987;Nichtdeutsch;Straftaten gegen den Staat,die öffentliche Ordnung;12096;7420;4286472;282.19010878876617;173.10272877088664
1987;Nichtdeutsch;Straftaten gegen die sexuelle Selbstbestimmung;2909;2884;4286472;67.86466819333008;67.28143797509934
1987;Nichtdeutsch;Straftaten im Straßenverkehr nach dem StGB;54922;71892;4286472;1281.2868018267702;1677.1834739618037
1987;Nichtdeutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;8754;78104;4286472;204.22389321567945;1822.1045185877804
1987;Nichtdeutsch;Straftaten nach dem Aufenthaltsgesetz;70311;30272;4286472;1640.2999949608911;706.2218066512507
1987;Nichtdeutsch;Straftaten nach dem Betäubungsmittelgesetz;51974;14708;4286472;1212.5122944930004;343.1260019895149
1987;Nichtdeutsch;Straftaten nach dem StGB (ohne Verkehr);81406;209988;4286472;1899.1375658116979;4898.853882633551
1987;Nichtdeutsch;Straftaten nach dem Straßenverkehrsgesetz;0;18260;4286472;0.0;425.9913513957399
1987;Nichtdeutsch;Urkundenfälschung;14309;12364;4286472;333.8176477065522;288.4423367281998
1987;Nichtdeutsch;Vergewaltigung;6814;1064;4286472;158.96522828097326;24.822278087900727
1987;Nichtdeutsch;Verletzung der Unterhaltspflicht;1271;1096;4286472;29.651424294851335;25.568812767236086
1988;Deutsch;Andere Straftaten gegen die Person (ohne Verkehr);407278;193400;57091575;713.3767110120889;338.75401055234505
1988;Deutsch;Andere Vermögensdelikte;274306;365180;57091575;480.4666888240515;639.6390360574218
1988;Deutsch;Betrug;491081;175220;57091575;860.1636931543753;306.9104329316541
1988;Deutsch;Diebstahl und Unterschlagung;2087702;549268;57091575;3656.7602137443223;962.082408831776
1988;Deutsch;Gefährliche und schwere Körperverletzung;51013;42968;57091575;89.35293867790475;75.26154253057479
1988;Deutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);44810;34292;57091575;78.48793801887581;60.06490449773018
1988;Deutsch;Körperverletzung;239920;58168;57091575;420.2371365652463;101.88543581080046
1988;Deutsch;Mord und Totschlag;6091;2136;57091575;10.668824603279907;3.741357634642239
1988;Deutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;23325;18496;57091575;40.855415181662096;32.39707434941145
1988;Deutsch;Sexueller Missbrauch von Kindern;3969;5256;57091575;6.951988975606296;9.206262044793826
1988;Deutsch;Straftaten gegen den Staat,die öffentliche Ordnung;88477;62356;57091575;154.97382932595573;109.22101903827317
1988;Deutsch;Straftaten gegen die sexuelle Selbstbestimmung;16884;16904;57091575;29.573540404166465;29.608571842693078
1988;Deutsch;Straftaten im Straßenverkehr nach dem StGB;29552;816620;57091575;51.762453566922964;1430.3686664801244
1988;Deutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;63955;227412;57091575;112.02178254847584;398.32847491070265
1988;Deutsch;Straftaten nach dem Aufenthaltsgesetz;5134;1248;57091575;8.992570269781487;2.185961764060634
1988;Deutsch;Straftaten nach dem Betäubungsmittelgesetz;232376;70180;57091575;407.02327795300795;122.92531778988406
1988;Deutsch;Straftaten nach dem StGB (ohne Verkehr);570218;1239896;57091575;998.7778406884028;2171.7670251696504
1988;Deutsch;Straftaten nach dem Straßenverkehrsgesetz;0;113608;57091575;0.0;198.99258340657093
1988;Deutsch;Urkundenfälschung;25454;50184;57091575;44.58451181282002;87.90088555097665
1988;Deutsch;Vergewaltigung;24018;3428;57091575;42.06925452660922;6.004388563461422
1988;Deutsch;Verletzung der Unterhaltspflicht;11105;14696;57091575;19.45120624190172;25.741101029355033
1988;Nichtdeutsch;Andere Straftaten gegen die Person (ohne Verkehr);92568;29880;4623528;2002.1074815595362;646.2597393159509
1988;Nichtdeutsch;Andere Vermögensdelikte;62809;61584;4623528;1358.4647913887404;1331.9698723572128
1988;Nichtdeutsch;Betrug;83036;17396;4623528;1795.944568736255;376.2494787530215
1988;Nichtdeutsch;Diebstahl und Unterschlagung;555506;120428;4623528;12014.76448287974;2604.6776401051316
1988;Nichtdeutsch;Gefährliche und schwere Körperverletzung;15121;9380;4623528;327.044629123042;202.87538001283866
1988;Nichtdeutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);4279;2952;4623528;92.54837431502523;63.84734773964817
1988;Nichtdeutsch;Körperverletzung;53008;9164;4623528;1146.483810631189;198.2036228611571
1988;Nichtdeutsch;Mord und Totschlag;1836;632;4623528;39.70993578929337;13.669215369734975
1988;Nichtdeutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;8254;4728;4623528;178.52168300916532;102.25957320903
1988;Nichtdeutsch;Sexueller Missbrauch von Kindern;757;520;4623528;16.372778536217364;11.24682277256675
1988;Nichtdeutsch;Straftaten gegen den Staat,die öffentliche Ordnung;13008;7944;4623528;281.3435973568236;171.81684635628898
1988;Nichtdeutsch;Straftaten gegen die sexuelle Selbstbestimmung;2969;2864;4623528;64.21503233028976;61.94403927044456
1988;Nichtdeutsch;Straftaten im Straßenverkehr nach dem StGB;66406;76728;4623528;1436.2625250674378;1659.5119571028874
1988;Nichtdeutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;9800;85792;4623528;211.9593522522195;1855.552729430859
1988;Nichtdeutsch;Straftaten nach dem Aufenthaltsgesetz;85853;28836;4623528;1856.8720682561022;623.67957974949
1988;Nichtdeutsch;Straftaten nach dem Betäubungsmittelgesetz;59295;16336;4623528;1282.4622236525875;353.3232631012508
1988;Nichtdeutsch;Straftaten nach dem StGB (ohne Verkehr);86019;230380;4623528;1860.462400141191;4982.775058353708
1988;Nichtdeutsch;Straftaten nach dem Straßenverkehrsgesetz;0;20740;4623528;0.0;448.5752005827584
1988;Nichtdeutsch;Urkundenfälschung;18836;14132;4623528;407.3945264308987;305.6540373498333
1988;Nichtdeutsch;Vergewaltigung;6724;1012;4623528;145.43006985142082;21.888047395841443
1988;Nichtdeutsch;Verletzung der Unterhaltspflicht;1394;1080;4623528;30.150136432611635;23.358785758407866
1989;Deutsch;Andere Straftaten gegen die Person (ohne Verkehr);413653;189952;57671874;717.252572718549;329.36678978040493
1989;Deutsch;Andere Vermögensdelikte;269544;358156;57671874;467.37513679545077;621.023689987948
1989;Deutsch;Betrug;486773;174288;57671874;844.0388117091532;302.20623661370877
1989;Deutsch;Diebstahl und Unterschlagung;2080950;502156;57671874;3608.257987246955;870.7121256368399
1989;Deutsch;Gefährliche und schwere Körperverletzung;69174;40824;57671874;119.94408227483645;70.78667150646085
1989;Deutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);47508;35528;57671874;82.3763763944969;61.60368570648494
1989;Deutsch;Körperverletzung;241798;56552;57671874;419.2650302988246;98.05819731122315
1989;Deutsch;Mord und Totschlag;5752;1824;57671874;9.973665846197402;3.1627201848859636
1989;Deutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;21766;17548;57671874;37.74110062731792;30.42731019976913
1989;Deutsch;Sexueller Missbrauch von Kindern;4128;5408;57671874;7.157735155268234;9.377187916591717
1989;Deutsch;Straftaten gegen den Staat,die öffentliche Ordnung;86665;60996;57671874;150.27255746882787;105.76385986694312
1989;Deutsch;Straftaten gegen die sexuelle Selbstbestimmung;17023;16572;57671874;29.516987778132545;28.734977469259974
1989;Deutsch;Straftaten im Straßenverkehr nach dem StGB;27984;808648;57671874;48.522785994434656;1402.153153545869
1989;Deutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;69594;224728;57671874;120.6723402121457;389.6665469896123
1989;Deutsch;Straftaten nach dem Aufenthaltsgesetz;5795;1916;57671874;10.048225587398113;3.322243352106089
1989;Deutsch;Straftaten nach dem Betäubungsmittelgesetz;248582;74164;57671874;431.0281299338392;128.59648014905846
1989;Deutsch;Straftaten nach dem StGB (ohne Verkehr);583173;1180908;57671874;1011.1913477963278;2047.6324386476501
1989;Deutsch;Straftaten nach dem Straßenverkehrsgesetz;0;110316;57671874;0.0;191.28214907668857
1989;Deutsch;Urkundenfälschung;24390;47264;57671874;42.29097878803106;81.95329321186962
1989;Deutsch;Vergewaltigung;23064;3208;57671874;39.99176444309751;5.56250348306698
1989;Deutsch;Verletzung der Unterhaltspflicht;10473;14780;57671874;18.159631851047532;25.627743603407094
1989;Nichtdeutsch;Andere Straftaten gegen die Person (ohne Verkehr);101958;31028;5007161;2036.2436917846262;619.6725050382842
1989;Nichtdeutsch;Andere Vermögensdelikte;74255;66064;5007161;1482.9760816558526;1319.3903691133557
1989;Nichtdeutsch;Betrug;90304;19916;5007161;1803.497031551412;397.7503419602445
1989;Nichtdeutsch;Diebstahl und Unterschlagung;637231;127072;5007161;12726.393259573637;2537.805355170325
1989;Nichtdeutsch;Gefährliche und schwere Körperverletzung;22063;9176;5007161;440.62893124467143;183.257538553284
1989;Nichtdeutsch;Gemeingefährliche einschl. Umweltstraftaten (o.V.);4483;3336;5007161;89.53177259528903;66.62458027612853
1989;Nichtdeutsch;Körperverletzung;57795;9780;5007161;1154.2468876075684;195.32026232030483
1989;Nichtdeutsch;Mord und Totschlag;1856;568;5007161;37.06691276753434;11.343753476271285
1989;Nichtdeutsch;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;9506;5244;5007161;189.8480995518219;104.73000568585672
1989;Nichtdeutsch;Sexueller Missbrauch von Kindern;832;672;5007161;16.6162022751016;13.420778760658985
1989;Nichtdeutsch;Straftaten gegen den Staat,die öffentliche Ordnung;13926;8220;5007161;278.12167413829917;164.16488305448937
1989;Nichtdeutsch;Straftaten gegen die sexuelle Selbstbestimmung;3097;2800;5007161;61.851416401429866;55.91991150274576
1989;Nichtdeutsch;Straftaten im Straßenverkehr nach dem StGB;84573;83828;5007161;1689.0409555434708;1674.1622648043472
1989;Nichtdeutsch;Straftaten nach anderen Bundes- u. Landesgesetzen;10212;97928;5007161;203.9479058092999;1955.758962014603
1989;Nichtdeutsch;Straftaten nach dem Aufenthaltsgesetz;117127;36148;5007161;2339.1898123507513;721.9260575004479
1989;Nichtdeutsch;Straftaten nach dem Betäubungsmittelgesetz;69628;18516;5007161;1390.5684278975652;369.79038620887167
1989;Nichtdeutsch;Straftaten nach dem StGB (ohne Verkehr);91915;243764;5007161;1835.6709520624563;4868.307609841186
1989;Nichtdeutsch;Straftaten nach dem Straßenverkehrsgesetz;0;23876;5007161;0.0;476.8370739426993
1989;Nichtdeutsch;Urkundenfälschung;26731;14464;5007161;533.8554122785347;288.8662857056124
1989;Nichtdeutsch;Vergewaltigung;7113;860;5007161;142.05654661393953;17.175401390129057
1989;Nichtdeutsch;Verletzung der Unterhaltspflicht;1389;1300;5007161;27.740270384754954;25.962816054846247
1990;Deutsch;Andere Straftaten gegen die Person (ohne Verkehr);424762;185368;74170870;572.6803528123642;249.92021800472344
