jahr;straftat_bezeichnung;nationalitaet;verurteilte
1987;Straftaten gegen den Staat,die öffentliche Ordnung;Deutsch;64188
1987;Straftaten gegen den Staat,die öffentliche Ordnung;Gesamt;71608
1987;Straftaten gegen die sexuelle Selbstbestimmung;Nichtdeutsch;2884
1987;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;16548
1987;Straftaten gegen die sexuelle Selbstbestimmung;Gesamt;19432
1987;Straftaten im Straßenverkehr;Nichtdeutsch;90152
1987;Straftaten im Straßenverkehr;Deutsch;924980
1987;Straftaten im Straßenverkehr;Gesamt;1015132
1987;Straftaten im Straßenverkehr nach dem StGB;Nichtdeutsch;71892
1987;Straftaten im Straßenverkehr nach dem StGB;Deutsch;809596
1987;Straftaten im Straßenverkehr nach dem StGB;Gesamt;881488
1987;Straftaten insgesamt;Nichtdeutsch;378244
1987;Straftaten insgesamt;Deutsch;2387332
1987;Straftaten insgesamt;Gesamt;2765576
1987;Straftaten nach anderen Bundes- u. Landesgesetzen;Nichtdeutsch;78104
1987;Straftaten nach anderen Bundes- u. Landesgesetzen;Deutsch;224128
1987;Straftaten nach anderen Bundes- u. Landesgesetzen;Gesamt;302232
1987;Straftaten nach dem Aufenthaltsgesetz;Nichtdeutsch;30272
1987;Straftaten nach dem Aufenthaltsgesetz;Deutsch;1016
1987;Straftaten nach dem Aufenthaltsgesetz;Gesamt;31288
1987;Straftaten nach dem Betäubungsmittelgesetz;Nichtdeutsch;14708
1987;Straftaten nach dem Betäubungsmittelgesetz;Deutsch;64476
1987;Straftaten nach dem Betäubungsmittelgesetz;Gesamt;79184
1987;Straftaten nach dem StGB (ohne Verkehr);Nichtdeutsch;209988
1987;Straftaten nach dem StGB (ohne Verkehr);Deutsch;1238224
1987;Straftaten nach dem StGB (ohne Verkehr);Gesamt;1448212
1987;Straftaten nach dem Straßenverkehrsgesetz;Nichtdeutsch;18260
1987;Straftaten nach dem Straßenverkehrsgesetz;Deutsch;115384
1987;Straftaten nach dem Straßenverkehrsgesetz;Gesamt;133644
1987;Straftaten ohne Straftaten im Straßenverkehr;Nichtdeutsch;288092
1987;Straftaten ohne Straftaten im Straßenverkehr;Deutsch;1462352
1987;Straftaten ohne Straftaten im Straßenverkehr;Gesamt;1750444
1987;Urkundenfälschung;Nichtdeutsch;12364
1987;Urkundenfälschung;Deutsch;49128
1987;Urkundenfälschung;Gesamt;61492
1987;Vergewaltigung;Nichtdeutsch;1064
1987;Vergewaltigung;Deutsch;3580
1987;Vergewaltigung;Gesamt;4644
1987;Verletzung der Unterhaltspflicht;Nichtdeutsch;1096
1987;Verletzung der Unterhaltspflicht;Deutsch;15456
1987;Verletzung der Unterhaltspflicht;Gesamt;16552
1988;Andere Straftaten gegen die Person (ohne Verkehr);Nichtdeutsch;29880
1988;Andere Straftaten gegen die Person (ohne Verkehr);Deutsch;193400
1988;Andere Straftaten gegen die Person (ohne Verkehr);Gesamt;223280
1988;Andere Vermögensdelikte;Nichtdeutsch;61584
1988;Andere Vermögensdelikte;Deutsch;365180
1988;Andere Vermögensdelikte;Gesamt;426764
1988;Betrug;Nichtdeutsch;17396
1988;Betrug;Deutsch;175220
1988;Betrug;Gesamt;192616
1988;Diebstahl;Nichtdeutsch;95228
1988;Diebstahl;Deutsch;393132
1988;Diebstahl;Gesamt;488360
1988;Diebstahl und Unterschlagung;Nichtdeutsch;120428
1988;Diebstahl und Unterschlagung;Deutsch;549268
1988;Diebstahl und Unterschlagung;Gesamt;669696
1988;Gefährliche und schwere Körperverletzung;Nichtdeutsch;9380
1988;Gefährliche und schwere Körperverletzung;Deutsch;42968
1988;Gefährliche und schwere Körperverletzung;Gesamt;52348
1988;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Nichtdeutsch;2952
1988;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Deutsch;34292
